frame,timestamp_s,inference_ms,fps,n_detections,labels
1,0.47,437.22,2.29,0,
2,0.714,82.33,3.85,0,
3,0.842,76.96,5.03,0,
4,0.976,76.63,5.94,0,
5,1.114,81.55,6.63,0,
6,1.249,83.22,7.16,0,
7,1.381,82.51,7.61,0,
8,1.515,82.22,7.98,0,
9,1.649,83.52,8.29,0,
10,1.782,82.66,8.56,0,
11,1.913,79.49,8.81,0,
12,2.049,82.34,9.02,0,
13,2.195,95.5,9.12,0,
14,2.309,76.01,9.32,0,
15,2.444,77.46,9.5,0,
16,2.579,79.38,9.64,0,
17,2.716,82.81,9.76,0,
18,2.851,84.08,9.86,1,cup
19,2.983,82.6,9.96,0,
20,3.115,81.63,10.05,0,
21,3.249,81.76,10.14,1,cup
22,3.381,80.73,10.22,1,cup
23,3.516,82.04,10.29,1,cup
24,3.648,80.8,10.37,1,cup
25,3.781,80.13,10.44,2,cup;cup
26,3.914,79.32,10.51,2,cup;cup
27,4.047,79.27,10.57,2,cup;cup
28,4.18,78.58,10.64,0,
29,4.315,80.42,10.69,3,cup;cup;cup
30,4.447,79.17,10.74,1,cup
31,4.582,80.28,12.32,1,cup
32,4.716,80.76,12.33,1,cup
33,4.847,78.83,12.32,3,cup;cup;cup
34,4.976,74.03,12.33,1,cup
35,5.114,78.76,12.34,1,cup
36,5.251,82.58,12.35,2,bottle;cup
37,5.383,80.67,12.36,2,bottle;cup
38,5.515,79.13,12.37,2,bottle;cup
39,5.648,79.1,12.4,2,bottle;cup
40,5.781,79.09,12.41,2,bottle;cup
41,5.913,77.48,12.42,1,cup
42,6.048,78.58,12.44,2,cup;bottle
43,6.184,80.99,12.52,2,bottle;cup
44,6.315,78.45,12.51,2,bottle;cup
45,6.45,80.24,12.49,1,bottle
46,6.583,80.03,12.49,2,cup;cup
47,6.715,78.4,12.51,1,bottle
48,6.85,80.3,12.53,1,bottle
49,6.984,80.88,12.54,2,bottle;cup
50,7.111,74.29,12.58,0,
51,7.249,79.2,12.59,2,cup;cup
52,7.383,79.03,12.6,1,cup
53,7.517,80.53,12.61,0,
54,7.652,81.68,12.6,0,
55,7.784,80.92,12.6,1,cup
56,7.918,80.8,12.59,0,
57,8.056,85.49,12.56,0,
58,8.183,79.23,12.56,0,
59,8.319,81.31,12.55,0,
60,8.454,82.89,12.53,0,
61,8.588,83.96,12.51,0,
62,8.718,80.65,12.51,0,
63,8.853,81.84,12.5,0,
64,8.987,82.17,12.46,1,person
65,9.12,81.79,12.44,2,cup;person
66,9.251,79.64,12.45,2,cup;person
67,9.382,77.53,12.47,1,person
68,9.518,79.66,12.47,1,person
69,9.652,79.96,12.46,1,person
70,9.787,81.38,12.45,1,person
71,9.921,82.08,12.43,1,person
72,10.053,81.61,12.41,0,
73,10.187,81.17,12.41,1,cup
74,10.322,82.73,12.39,3,cup;cup;person
75,10.452,79.85,12.39,5,cup;cup;person;person;cup
76,10.583,77.4,12.4,4,bottle;person;cup;cup
77,10.715,75.65,12.42,3,person;cup;cup
78,10.85,77.77,12.43,4,bottle;person;cup;cup
79,10.983,76.74,12.45,2,person;cup
80,11.118,78.43,12.43,4,bottle;person;cup;cup
81,11.248,74.85,12.45,3,cup;person;bottle
82,11.38,74.16,12.48,3,cup;bottle;cup
83,11.517,77.56,12.5,3,cup;person;bottle
84,11.649,75.9,12.53,2,cup;cup
85,11.784,77.05,12.55,2,cup;cup
86,11.919,78.54,12.56,1,cup
87,12.051,77.33,12.6,2,cup;cup
88,12.185,77.84,12.61,2,cup;cup
89,12.319,78.27,12.62,2,cup;cup
90,12.448,74.93,12.67,2,cup;cup
91,12.586,78.21,12.7,2,cup;cup
92,12.721,79.82,12.7,2,cup;cup
93,12.853,78.55,12.72,2,bottle;cup
94,12.986,78.24,12.74,2,bottle;cup
95,13.117,75.89,12.77,2,bottle;cup
96,13.252,77.55,12.78,1,cup
97,13.387,78.4,12.78,3,cup;cup;bottle
98,13.52,78.41,12.79,2,cup;bottle
99,13.653,78.33,12.8,3,cup;cup;bottle
100,13.786,78.07,12.81,2,cup;bottle
101,13.92,78.01,12.84,2,cup;bottle
102,14.053,78.14,12.85,3,cup;cup;bottle
103,14.184,75.81,12.88,3,cup;cup;bottle
104,14.319,77.22,12.91,3,cup;cup;bottle
105,14.452,77.05,12.93,2,cup;bottle
106,14.586,77.73,12.93,2,cup;bottle
107,14.722,79.73,12.91,2,cup;bottle
108,14.853,77.57,12.91,3,cup;cup;bottle
109,14.985,76.43,12.91,2,cup;bottle
110,15.117,75.26,12.93,2,cup;bottle
111,15.254,78.3,12.91,2,cup;bottle
112,15.388,79.11,12.88,2,cup;cup
113,15.522,79.23,12.87,2,cup;cup
114,15.655,78.85,12.85,2,cup;bottle
115,15.789,79.62,12.84,3,cup;cup;cup
116,15.921,77.86,12.84,1,cup
117,16.057,80.29,12.83,3,cup;cup;bottle
118,16.187,77.62,12.83,2,bottle;cup
119,16.323,79.46,12.82,3,bottle;cup;cup
120,16.453,76.58,12.81,2,cup;bottle
121,16.588,77.55,12.82,2,cup;bottle
122,16.723,79.16,12.82,2,cup;bottle
123,16.855,77.8,12.82,2,cup;bottle
124,16.99,79.13,12.82,2,cup;bottle
125,17.124,80.14,12.8,2,cup;bottle
126,17.255,78.17,12.79,2,cup;bottle
127,17.388,77.74,12.8,2,cup;bottle
128,17.524,79.89,12.79,2,cup;bottle
129,17.655,77.62,12.79,3,cup;cup;bottle
130,17.786,74.8,12.81,3,cup;cup;bottle
131,17.919,75.22,12.83,2,bottle;cup
132,18.055,77.82,12.83,2,bottle;cup
133,18.189,78.02,12.82,3,bottle;cup;cup
134,18.322,77.94,12.81,4,cup;bottle;cup;cup
135,18.455,76.56,12.81,4,cup;bottle;cup;cup
136,18.588,76.56,12.82,4,cell phone;cup;cup;cup
137,18.721,76.31,12.84,4,bottle;cup;cup;cup
138,18.853,74.27,12.86,3,cell phone;cup;cup
139,18.988,76.55,12.86,2,cup;cup
140,19.124,78.81,12.84,3,cell phone;cup;cup
141,19.256,77.41,12.84,3,bottle;cell phone;cup
142,19.39,77.29,12.85,3,cup;bottle;cup
143,19.523,77.46,12.86,3,cup;bottle;cup
144,19.657,77.99,12.87,3,cup;cup;cup
145,19.788,75.66,12.89,2,cup;cup
146,19.924,78.12,12.89,2,cup;cup
147,20.059,79.37,12.89,2,bottle;cup
148,20.191,78.52,12.89,3,bottle;cup;cup
149,20.324,78.41,12.89,2,bottle;cup
150,20.458,78.86,12.88,3,bottle;cup;cup
151,20.591,77.82,12.88,2,bottle;cup
152,20.725,79.05,12.88,2,cup;cup
153,20.858,78.65,12.87,2,cup;bottle
154,20.992,78.05,12.88,3,person;cup;cup
155,21.124,77.02,12.9,3,person;cup;bottle
156,21.258,77.4,12.9,3,person;bottle;cup
157,21.391,77.51,12.9,3,bottle;person;cup
158,21.523,76.2,12.92,1,cup
159,21.658,77.59,12.92,1,cup
160,21.789,75.46,12.92,2,cup;person
161,21.924,76.45,12.91,1,cup
162,22.06,79.48,12.9,2,cup;cup
163,22.192,78.15,12.9,2,cup;person
164,22.325,78.04,12.9,2,cup;cup
165,22.46,78.71,12.89,2,person;cup
166,22.592,77.78,12.88,1,cup
167,22.727,79.21,12.87,2,cup;cup
168,22.86,78.21,12.85,2,cup;cup
169,22.993,78.7,12.83,3,cup;cup;cup
170,23.125,77.25,12.84,2,cup;bottle
171,23.26,78.28,12.84,2,cup;cup
172,23.393,77.78,12.84,2,cup;cup
173,23.527,78.46,12.83,2,cup;cup
174,23.661,78.9,12.83,2,cup;cup
175,23.795,79.88,12.8,2,cup;cup
176,23.927,78.16,12.8,4,cup;cup;cup;cup
177,24.06,77.89,12.81,2,cup;cup
178,24.192,76.41,12.82,2,cup;cup
179,24.329,79.72,12.81,2,cup;cup
180,24.461,78.2,12.82,2,cup;cup
181,24.595,78.93,12.81,1,cup
182,24.729,79.89,12.81,2,cup;cup
183,24.861,78.03,12.81,1,cup
184,24.996,79.85,12.8,1,bottle
185,25.129,79.34,12.79,1,cup
186,25.264,81.34,12.77,0,
187,25.395,78.89,12.76,0,
188,25.53,80.6,12.74,1,bottle
189,25.664,80.32,12.72,1,cup
190,25.798,81.16,12.69,0,
191,25.933,82.64,12.66,3,person;cup;person
192,26.063,79.39,12.66,5,cup;bottle;person;person;cup
193,26.193,75.39,12.67,3,cup;cup;person
194,26.327,76.44,12.68,4,cup;bottle;bottle;person
195,26.46,76.59,12.69,3,cup;bottle;person
196,26.591,73.7,12.71,4,cup;cup;bottle;person
197,26.724,73.54,12.74,4,cup;cup;bottle;person
