frame,timestamp_s,inference_ms,fps,n_detections,labels
1,0.428,427.8,2.34,0,
2,0.69,111.34,3.71,0,
3,0.829,82.98,4.82,0,
4,0.963,84.27,5.66,0,
5,1.095,82.21,6.34,0,
6,1.23,84.24,6.87,1,cell phone
7,1.36,80.99,7.34,1,cell phone
8,1.497,83.99,7.71,0,
9,1.629,82.91,8.03,0,
10,1.763,82.95,8.31,0,
11,1.897,84.09,8.54,0,
12,2.03,83.16,8.75,0,
13,2.163,83.64,8.94,2,cell phone;cell phone
14,2.297,83.36,9.1,0,
15,2.429,81.91,9.26,0,
16,2.564,83.2,9.39,0,
17,2.696,82.56,9.52,1,cell phone
18,2.829,81.75,9.64,0,
19,2.963,82.92,9.74,2,cell phone;cell phone
20,3.097,83.54,9.83,1,cell phone
21,3.23,83.26,9.92,1,cell phone
22,3.363,82.11,10.0,1,cell phone
23,3.496,81.93,10.08,1,cell phone
24,3.629,81.88,10.16,1,cell phone
25,3.763,82.22,10.22,1,cell phone
26,3.901,86.1,10.27,1,cell phone
27,4.04,92.63,10.29,1,cell phone
28,4.164,82.18,10.35,1,cell phone
29,4.31,95.33,10.35,1,cell phone
30,4.47,88.78,10.38,1,cell phone
31,4.607,91.66,11.75,1,cell phone
32,4.73,81.51,11.88,1,cell phone
33,4.864,81.8,11.89,1,cell phone
34,4.997,81.95,11.9,1,cell phone
35,5.131,82.57,11.9,1,cell phone
36,5.264,81.65,11.91,1,cell phone
37,5.397,81.65,11.91,0,
38,5.533,84.06,11.91,1,cell phone
39,5.664,81.82,11.91,1,cell phone
40,5.799,83.02,11.91,1,cell phone
41,5.935,85.69,11.91,1,cell phone
42,6.067,83.75,11.9,1,cell phone
43,6.197,81.3,11.91,1,cell phone
44,6.341,90.84,11.88,1,cell phone
45,6.468,85.06,11.86,0,
46,6.602,85.86,11.85,1,cell phone
47,6.736,86.16,11.83,0,
48,6.87,86.1,11.81,0,
49,6.999,82.47,11.82,1,cell phone
50,7.132,81.51,11.83,0,
51,7.265,81.44,11.83,0,
52,7.398,81.12,11.84,0,
53,7.537,87.01,11.82,0,
54,7.665,81.14,11.82,0,
55,7.8,82.42,11.82,0,
56,7.933,81.82,11.84,1,cell phone
57,8.07,86.13,11.87,0,
58,8.199,81.11,11.87,1,cell phone
59,8.332,80.82,11.94,0,
60,8.468,83.22,11.97,0,
61,8.603,84.71,12.0,1,cell phone
62,8.739,87.77,11.97,1,cell phone
63,8.881,96.03,11.9,1,cell phone
64,9.039,87.16,11.88,1,cell phone
65,9.182,96.86,11.81,1,cell phone
66,9.343,90.95,11.77,1,cell phone
67,9.476,90.9,11.73,1,cell phone
68,9.603,84.11,11.73,1,cell phone
