frame,timestamp_s,inference_ms,fps,n_detections,labels
1,1.01,977.36,1.02,0,
2,1.808,108.89,1.84,0,
3,1.964,97.68,2.53,0,
4,2.126,92.04,3.13,0,
5,2.254,86.95,3.67,0,
6,2.386,86.15,4.14,0,
7,2.517,83.92,4.57,0,
8,2.651,84.22,4.95,0,
9,2.785,85.26,5.29,0,
10,2.92,86.26,5.59,0,
11,3.051,83.87,5.87,0,
12,3.184,83.23,6.14,0,
13,3.318,83.99,6.37,0,
14,3.452,84.69,6.59,0,
15,3.586,85.55,6.79,0,
16,3.72,85.99,6.97,0,
17,3.852,84.73,7.14,0,
18,3.985,84.09,7.3,0,
19,4.119,84.3,7.45,0,
20,4.253,84.62,7.59,0,
21,4.388,86.83,7.72,0,
22,4.517,82.32,7.85,0,
23,4.651,82.58,7.97,0,
24,4.786,84.94,8.08,0,
25,4.918,83.08,8.19,0,
26,5.052,83.44,8.29,0,
27,5.185,83.18,8.38,0,
28,5.32,84.33,8.47,0,
29,5.452,83.17,8.56,0,
30,5.585,83.16,8.64,0,
31,5.719,83.81,11.64,0,
32,5.854,85.0,11.75,0,
33,5.986,83.93,11.81,0,
34,6.12,83.91,11.85,0,
35,6.254,84.56,11.86,0,
36,6.387,84.53,11.87,0,
37,6.521,85.17,11.86,0,
38,6.654,84.18,11.86,0,
39,6.787,83.94,11.87,0,
40,6.921,84.49,11.88,0,
41,7.054,84.74,11.87,0,
42,7.188,84.84,11.87,0,
43,7.321,83.86,11.87,0,
44,7.454,83.89,11.87,0,
45,7.587,83.96,11.88,0,
46,7.721,84.45,11.89,0,
47,7.856,85.3,11.88,0,
48,7.988,84.49,11.88,0,
49,8.123,85.72,11.87,0,
50,8.257,86.42,11.87,0,
51,8.389,85.44,11.87,0,
52,8.522,84.82,11.86,0,
53,8.655,84.46,11.85,0,
54,8.791,86.25,11.85,0,
55,8.924,86.03,11.83,0,
56,9.056,84.68,11.83,0,
57,9.189,84.09,11.82,0,
58,9.324,85.73,11.82,0,
59,9.456,84.51,11.81,0,
60,9.591,85.36,11.8,1,cell phone
61,9.722,83.53,11.8,0,
62,9.856,84.57,11.8,0,
63,9.989,84.35,11.8,0,
64,10.123,84.3,11.8,0,
65,10.258,85.81,11.79,0,
66,10.392,86.39,11.78,0,
67,10.524,84.84,11.79,0,
68,10.656,83.77,11.79,0,
69,10.79,83.86,11.79,0,
70,10.92,81.08,11.8,0,
