frame,timestamp_s,inference_ms,fps,n_detections,labels
1,0.417,416.46,2.4,0,
2,0.662,85.39,3.99,0,
3,0.794,83.38,5.13,0,
4,0.926,81.86,6.0,0,
5,1.059,81.65,6.68,0,
6,1.192,81.93,7.22,0,
7,1.326,82.08,7.67,0,
8,1.459,81.24,8.05,0,
9,1.594,83.37,8.35,0,
10,1.727,82.46,8.62,0,
11,1.862,83.93,8.84,0,
12,1.993,82.15,9.05,0,
13,2.124,79.91,9.25,0,
14,2.26,82.01,9.41,0,
15,2.395,83.19,9.55,0,
16,2.54,94.9,9.6,0,
17,2.658,79.6,9.74,0,
18,2.795,83.05,9.84,0,
19,2.932,86.82,9.92,0,
20,3.061,82.28,10.01,0,
21,3.194,82.33,10.1,0,
22,3.328,82.41,10.17,0,
23,3.461,82.66,10.24,0,
24,3.595,82.45,10.31,0,
25,3.727,81.21,10.38,0,
26,3.861,81.96,10.44,0,
27,4.014,101.19,10.42,0,
28,4.165,85.38,10.46,0,
29,4.297,84.5,10.5,0,
30,4.43,83.4,10.54,0,
31,4.566,86.19,11.93,0,
32,4.713,99.82,11.86,0,
33,4.875,95.06,11.81,0,
34,4.994,80.41,11.81,0,
35,5.129,82.46,11.81,0,
36,5.262,82.52,11.81,0,
37,5.396,82.8,11.8,0,
38,5.529,82.21,11.8,0,
39,5.664,83.26,11.8,0,
40,5.797,83.12,11.8,0,
41,5.932,84.76,11.79,0,
42,6.062,81.73,11.79,0,
43,6.196,81.77,11.79,0,
44,6.33,82.77,11.78,0,
45,6.464,83.4,11.78,0,
46,6.597,82.4,11.84,0,
47,6.729,80.95,11.83,0,
48,6.864,82.36,11.84,0,
49,6.996,81.62,11.86,0,
50,7.129,81.1,11.87,0,
51,7.264,82.1,11.87,0,
52,7.397,82.54,11.87,0,
53,7.529,81.1,11.87,0,
54,7.665,82.88,11.87,0,
55,7.799,83.42,11.86,0,
56,7.93,81.17,11.87,0,
57,8.064,81.7,11.96,0,
58,8.197,81.31,11.98,0,
59,8.331,82.32,11.99,0,
60,8.464,81.47,12.0,0,
61,8.598,82.11,12.02,0,
62,8.732,82.42,12.1,0,
63,8.865,82.13,12.16,0,
64,8.999,83.13,12.15,0,
65,9.132,82.33,12.15,0,
66,9.266,82.41,12.15,0,
67,9.407,90.28,12.12,0,
68,9.545,95.6,12.05,0,
69,9.715,98.05,11.98,0,
70,9.869,86.1,11.96,0,
71,10.002,85.51,11.96,0,
72,10.141,90.64,11.92,0,
73,10.279,95.22,11.86,0,
74,10.438,87.69,11.83,0,
75,10.575,91.0,11.8,0,
76,10.701,83.46,11.79,0,
77,10.832,81.8,11.79,0,
78,10.967,82.75,11.79,0,
79,11.1,82.77,11.78,0,
80,11.233,82.26,11.78,0,
81,11.365,80.84,11.78,0,
82,11.5,82.55,11.78,0,
83,11.634,83.05,11.77,0,
84,11.768,83.14,11.77,0,
85,11.901,82.46,11.78,0,
86,12.033,81.53,11.77,0,
87,12.169,83.35,11.77,0,
88,12.301,81.92,11.76,0,
89,12.434,81.84,11.77,0,
90,12.568,83.02,11.76,0,
91,12.7,81.73,11.76,0,
92,12.834,82.12,11.76,0,
93,12.966,80.5,11.77,0,
94,13.102,82.54,11.77,0,
95,13.235,82.18,11.77,0,
96,13.367,81.6,11.78,0,
97,13.501,81.34,11.82,0,
98,13.635,82.05,11.88,0,
99,13.768,81.86,11.96,0,
100,13.9,80.51,11.98,0,
101,14.035,81.63,12.0,0,
102,14.173,86.53,12.02,0,
103,14.307,87.53,12.06,0,
104,14.434,80.92,12.09,0,
105,14.571,83.8,12.13,0,
106,14.712,91.71,12.09,0,
107,14.835,81.74,12.09,0,
108,14.975,88.54,12.06,0,
109,15.101,80.45,12.07,1,cell phone
110,15.236,82.01,12.07,0,
111,15.369,81.46,12.07,0,
112,15.504,82.68,12.07,0,
113,15.639,84.64,12.06,0,
114,15.769,82.02,12.07,0,
115,15.904,83.01,12.06,1,cell phone
116,16.035,80.46,12.07,1,cell phone
117,16.169,80.72,12.08,1,cell phone
118,16.302,80.94,12.09,1,cell phone
119,16.435,80.65,12.09,1,cell phone
120,16.569,80.95,12.1,0,
121,16.703,81.66,12.1,1,cell phone
122,16.837,81.91,12.1,0,
123,16.97,81.88,12.1,1,cell phone
124,17.103,81.13,12.1,0,
125,17.238,82.63,12.1,0,
126,17.371,82.01,12.1,0,
127,17.504,82.14,12.1,0,
128,17.638,82.87,12.09,1,cell phone
129,17.771,82.53,12.09,1,cell phone
130,17.904,81.93,12.08,0,
131,18.04,84.59,12.07,0,
132,18.171,81.86,12.09,0,
133,18.305,81.93,12.12,1,cell phone
134,18.44,83.92,12.1,1,cell phone
135,18.572,82.2,12.11,1,cell phone
136,18.707,83.61,12.15,0,
137,18.839,82.95,12.14,0,
138,18.972,82.01,12.18,0,
139,19.105,81.7,12.17,0,
140,19.242,84.75,12.16,0,
141,19.373,82.16,12.15,0,
142,19.506,81.79,12.16,0,
143,19.643,85.54,12.15,0,
144,19.773,82.86,12.15,0,
145,19.907,82.85,12.15,0,
146,20.039,82.13,12.14,0,
147,20.173,82.36,12.13,0,
148,20.308,83.11,12.12,0,
149,20.44,82.59,12.11,0,
150,20.574,83.41,12.1,0,
151,20.707,82.56,12.1,0,
152,20.841,83.65,12.09,0,
153,20.976,84.34,12.08,0,
154,21.108,82.97,12.07,0,
155,21.24,82.35,12.07,0,
156,21.374,82.59,12.07,0,
157,21.508,82.68,12.06,0,
158,21.641,82.19,12.07,0,
159,21.775,83.14,12.06,0,
160,21.909,83.28,12.06,1,cell phone
161,22.039,80.43,12.08,0,
162,22.176,83.44,12.07,0,
163,22.308,82.54,12.07,0,
164,22.443,83.25,12.07,1,cell phone
165,22.575,82.44,12.07,0,
166,22.716,89.96,12.04,0,
167,22.841,81.82,12.04,0,
168,22.976,82.81,12.04,0,
169,23.108,82.3,12.04,0,
170,23.243,82.94,12.05,0,
171,23.376,83.21,12.04,0,
172,23.51,83.59,12.03,0,
173,23.643,82.69,12.05,0,
174,23.776,83.01,12.05,0,
175,23.91,82.9,12.04,0,
176,24.043,83.31,12.04,0,
177,24.175,81.6,12.04,0,
178,24.31,82.42,12.05,0,
179,24.443,82.47,12.05,0,
180,24.575,81.42,12.06,0,
181,24.711,83.14,12.05,0,
182,24.846,84.61,12.05,0,
183,24.975,81.03,12.06,0,
184,25.11,82.46,12.07,0,
