frame,timestamp_s,inference_ms,fps,n_detections,labels
185,25.877,95.81,11.43,1,cell phone
186,26.042,94.1,11.38,1,cell phone
187,26.207,92.26,11.37,1,cell phone
188,26.338,89.64,11.34,1,cell phone
189,26.472,90.47,11.32,1,cell phone
190,26.604,88.79,11.33,1,cell phone
191,26.749,101.07,11.26,1,cell phone
192,26.914,99.38,11.19,1,cell phone
193,27.07,88.0,11.17,1,cell phone
194,27.202,86.32,11.16,1,cell phone
195,27.334,85.68,11.16,1,cell phone
196,27.469,86.92,11.14,1,cell phone
197,27.606,90.24,11.11,1,cell phone
198,27.738,88.48,11.11,1,cell phone
199,27.869,86.78,11.12,1,cell phone
200,27.998,82.07,11.14,1,cell phone
201,28.136,86.15,11.15,1,cell phone
202,28.269,86.2,11.17,1,cell phone
203,28.406,89.5,11.15,1,cell phone
204,28.54,90.65,11.12,1,cell phone
205,28.712,94.95,11.07,1,cell phone
206,28.889,105.02,11.0,1,cell phone
207,29.044,93.4,10.98,1,cell phone
208,29.211,94.14,10.94,1,cell phone
209,29.376,91.78,10.91,1,cell phone
210,29.503,86.1,10.96,1,cell phone
211,29.642,91.33,10.97,1,cell phone
212,29.788,104.31,10.94,1,cell phone
213,29.941,90.63,10.94,1,cell phone
214,30.116,98.5,10.91,1,cell phone
215,30.274,89.76,10.94,1,cell phone
216,30.405,87.52,10.96,1,cell phone
217,30.541,89.72,10.97,1,cell phone
218,30.669,84.27,11.0,1,cell phone
219,30.802,84.48,11.02,1,cell phone
220,30.937,85.63,11.03,1,cell phone
221,31.066,80.95,11.12,1,cell phone
222,31.201,82.88,11.18,1,cell phone
223,31.334,82.51,11.21,1,cell phone
224,31.467,82.36,11.22,1,cell phone
225,31.603,84.64,11.23,1,cell phone
226,31.752,99.96,11.17,1,cell phone
227,31.915,95.73,11.15,1,cell phone
228,32.073,88.0,11.15,1,cell phone
229,32.214,94.83,11.12,1,cell phone
230,32.374,88.88,11.09,1,cell phone
231,32.516,97.38,11.05,1,cell phone
232,32.676,90.52,11.03,1,cell phone
233,32.816,97.17,11.0,1,cell phone
234,32.971,85.03,11.02,1,cell phone
235,33.103,84.04,11.06,1,cell phone
236,33.235,81.85,11.16,1,cell phone
237,33.37,83.89,11.2,1,cell phone
238,33.504,84.29,11.24,1,cell phone
239,33.638,85.24,11.27,1,cell phone
240,33.77,83.76,11.28,1,cell phone
241,33.904,83.47,11.31,0,
242,34.036,82.55,11.4,0,
243,34.169,82.42,11.44,0,
244,34.304,83.52,11.51,0,
245,34.437,83.05,11.54,0,
246,34.571,83.47,11.55,0,
247,34.705,83.58,11.58,0,
248,34.838,83.69,11.58,1,cell phone
249,34.972,84.59,11.58,1,cell phone
250,35.102,81.16,11.6,0,
251,35.238,83.05,11.59,0,
252,35.371,82.9,11.59,0,
253,35.505,83.64,11.59,0,
254,35.637,82.49,11.59,0,
255,35.774,85.65,11.58,1,cell phone
256,35.905,83.37,11.66,0,
257,36.037,82.42,11.72,0,
258,36.172,83.01,11.74,0,
259,36.305,83.65,11.79,0,
260,36.437,81.85,11.83,0,
261,36.572,82.95,11.89,0,
262,36.704,82.18,11.93,0,
263,36.839,83.96,12.0,1,cell phone
264,36.971,82.3,12.01,0,
265,37.106,83.06,12.01,0,
266,37.239,82.66,12.01,0,
267,37.373,83.36,12.01,0,
268,37.507,84.03,12.01,0,
269,37.641,84.99,12.02,0,
270,37.774,84.46,12.01,1,cell phone
271,37.905,81.64,12.02,0,
272,38.045,88.13,11.99,0,
273,38.178,87.67,11.97,0,
274,38.307,83.79,11.97,0,
275,38.44,83.47,11.97,0,
276,38.574,83.29,11.97,1,cell phone
277,38.706,82.34,11.97,0,
278,38.845,88.05,11.95,1,cell phone
279,38.975,84.33,11.95,1,cell phone
280,39.117,92.95,11.9,1,cell phone
281,39.281,90.27,11.86,1,cell phone
282,39.452,93.76,11.81,1,cell phone
283,39.623,98.01,11.75,1,cell phone
284,39.788,96.16,11.68,1,cell phone
285,39.949,91.62,11.66,1,cell phone
286,40.078,86.28,11.64,1,cell phone
287,40.212,87.3,11.62,1,cell phone
288,40.342,84.13,11.62,1,cell phone
289,40.475,83.73,11.62,1,cell phone
290,40.61,85.2,11.6,0,
291,40.744,85.43,11.59,1,cell phone
292,40.886,94.0,11.54,1,cell phone
293,41.046,87.03,11.52,1,cell phone
294,41.174,81.85,11.53,1,cell phone
295,41.308,82.34,11.53,1,cell phone
296,41.446,87.26,11.51,1,cell phone
297,41.576,83.82,11.51,1,cell phone
298,41.708,81.8,11.52,1,cell phone
299,41.842,82.23,11.53,1,cell phone
300,41.974,81.42,11.54,0,
301,42.109,83.13,11.54,0,
302,42.242,82.68,11.56,0,
303,42.376,83.04,11.58,0,
304,42.509,82.84,11.58,0,
305,42.644,83.63,11.58,3,cell phone;cell phone;cell phone
306,42.775,82.17,11.59,0,
307,42.909,82.6,11.59,0,
308,43.042,82.35,11.61,1,cell phone
309,43.175,81.99,11.62,0,
310,43.309,82.55,11.67,0,
311,43.443,82.6,11.71,0,
312,43.576,82.76,11.76,0,
313,43.71,82.58,11.83,0,
314,43.844,83.19,11.89,0,
315,43.976,82.02,11.93,0,
316,44.111,82.98,11.95,0,
317,44.243,82.03,11.97,0,
318,44.378,82.96,11.98,2,cell phone;cell phone
319,44.51,81.83,11.99,0,
320,44.644,82.51,12.0,1,cell phone
321,44.778,83.51,12.01,0,
322,44.911,83.2,12.06,0,
323,45.044,82.52,12.09,0,
324,45.177,82.61,12.08,0,
325,45.311,83.16,12.08,0,
326,45.443,81.59,12.11,0,
327,45.578,83.02,12.11,1,cell phone
328,45.712,83.77,12.1,1,cell phone
329,45.845,82.91,12.1,0,
330,45.978,82.7,12.09,0,
331,46.111,82.61,12.09,0,
332,46.247,84.49,12.08,1,cell phone
333,46.377,81.63,12.09,1,cell phone
334,46.512,82.9,12.09,0,
335,46.646,83.58,12.09,0,
336,46.779,82.91,12.09,1,cell phone
337,46.912,82.53,12.09,1,cell phone
338,47.05,87.34,12.06,0,
339,47.178,81.99,12.06,0,
340,47.317,87.25,12.04,0,
341,47.452,88.87,12.01,0,
342,47.585,88.48,11.98,1,cell phone
343,47.715,85.12,11.97,0,
344,47.851,87.84,11.95,0,
345,47.986,88.95,11.92,1,cell phone
346,48.126,95.68,11.86,1,cell phone
347,48.285,87.65,11.83,0,
348,48.417,86.02,11.81,0,
349,48.553,89.39,11.78,0,
350,48.694,96.47,11.72,0,
351,48.864,99.95,11.64,1,cell phone
352,49.014,83.13,11.64,0,
353,49.162,97.08,11.58,0,
354,49.321,89.39,11.55,0,
355,49.45,85.03,11.54,1,cell phone
356,49.585,86.27,11.52,1,cell phone
357,49.718,86.28,11.5,1,cell phone
358,49.851,85.92,11.49,0,
359,49.981,82.14,11.5,1,cell phone
360,50.116,83.91,11.49,0,
361,50.252,86.61,11.47,0,
