frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
108,11.186,38.73,25.58,1,0.8899,0.521,28336.0
109,11.287,40.07,25.54,1,0.8907,0.522,28825.0
110,11.387,39.88,25.52,2,0.764,0.582,14598.0
111,11.486,39.72,25.52,2,0.7687,0.586,13820.0
112,11.586,39.75,25.5,2,0.837,0.593,12782.0
113,11.687,40.49,25.45,3,0.7314,0.596,10085.7
114,11.786,39.66,25.44,3,0.8055,0.599,9467.3
115,11.886,39.53,25.42,3,0.7831,0.598,9583.0
116,11.986,39.0,25.44,2,0.746,0.6,12325.0
117,12.087,40.1,25.42,4,0.7195,0.613,6781.5
118,12.187,39.54,25.42,3,0.7147,0.6,9138.7
119,12.286,38.57,25.43,2,0.7235,0.6,12307.0
120,12.386,39.23,25.45,2,0.8078,0.599,12304.5
121,12.487,39.38,25.45,2,0.7788,0.603,12244.5
122,12.587,39.24,25.45,2,0.744,0.601,12569.0
123,12.687,39.08,25.45,2,0.7471,0.601,12578.0
124,12.783,36.21,25.53,2,0.7244,0.602,12407.5
125,12.886,38.66,25.47,2,0.7402,0.6,12542.5
126,12.988,39.78,25.47,2,0.7435,0.599,12575.5
127,13.087,39.44,25.49,2,0.7864,0.599,12053.5
128,13.188,39.62,25.49,2,0.7966,0.599,12350.0
129,13.287,39.38,25.48,2,0.8016,0.599,12845.0
130,13.387,39.02,25.5,2,0.8114,0.599,12878.0
131,13.487,38.9,25.5,2,0.7954,0.602,12430.5
132,13.588,39.83,25.49,2,0.7504,0.574,15416.0
133,13.682,34.34,25.58,2,0.8128,0.598,13713.5
134,13.788,39.49,25.56,2,0.7677,0.593,14640.0
135,13.885,37.65,25.61,2,0.8301,0.585,16178.0
136,13.982,34.82,25.69,0,0.0,0.0,0.0
137,14.085,36.87,25.73,0,0.0,0.0,0.0
138,14.188,38.84,25.73,0,0.0,0.0,0.0
139,14.287,38.73,25.76,0,0.0,0.0,0.0
140,14.39,39.42,25.77,0,0.0,0.0,0.0
141,14.482,33.73,25.9,0,0.0,0.0,0.0
142,14.587,38.33,25.93,0,0.0,0.0,0.0
143,14.688,38.75,25.97,0,0.0,0.0,0.0
144,14.788,38.82,25.99,0,0.0,0.0,0.0
145,14.888,38.19,26.02,0,0.0,0.0,0.0
146,14.988,38.46,26.03,0,0.0,0.0,0.0
147,15.082,34.43,26.16,0,0.0,0.0,0.0
148,15.188,38.5,26.19,0,0.0,0.0,0.0
149,15.282,34.39,26.28,0,0.0,0.0,0.0
150,15.386,37.49,26.32,0,0.0,0.0,0.0
151,15.49,39.75,26.31,0,0.0,0.0,0.0
152,15.587,38.68,26.33,0,0.0,0.0,0.0
153,15.687,38.98,26.33,0,0.0,0.0,0.0
154,15.79,40.08,26.24,0,0.0,0.0,0.0
155,15.889,39.59,26.22,0,0.0,0.0,0.0
156,15.984,35.65,26.31,0,0.0,0.0,0.0
157,16.089,39.12,26.32,0,0.0,0.0,0.0
158,16.19,39.53,26.32,0,0.0,0.0,0.0
159,16.29,39.54,26.32,0,0.0,0.0,0.0
160,16.39,39.54,26.31,0,0.0,0.0,0.0
161,16.49,38.99,26.3,0,0.0,0.0,0.0
162,16.59,39.53,26.31,0,0.0,0.0,0.0
163,16.69,39.52,26.19,0,0.0,0.0,0.0
164,16.79,39.4,26.19,0,0.0,0.0,0.0
165,16.89,39.25,26.16,0,0.0,0.0,0.0
166,16.99,39.24,26.06,0,0.0,0.0,0.0
167,17.09,39.28,26.0,0,0.0,0.0,0.0
168,17.191,39.44,25.99,0,0.0,0.0,0.0
169,17.29,39.62,25.97,0,0.0,0.0,0.0
170,17.39,39.75,25.96,0,0.0,0.0,0.0
171,17.491,40.46,25.81,0,0.0,0.0,0.0
172,17.59,39.22,25.79,0,0.0,0.0,0.0
173,17.691,39.15,25.78,0,0.0,0.0,0.0
174,17.791,39.43,25.77,0,0.0,0.0,0.0
175,17.891,39.31,25.74,0,0.0,0.0,0.0
176,17.991,39.53,25.72,0,0.0,0.0,0.0
177,18.091,39.12,25.62,0,0.0,0.0,0.0
178,18.191,39.03,25.61,0,0.0,0.0,0.0
179,18.291,39.92,25.49,0,0.0,0.0,0.0
180,18.393,40.12,25.43,0,0.0,0.0,0.0
181,18.492,39.55,25.43,0,0.0,0.0,0.0
182,18.59,38.34,25.44,0,0.0,0.0,0.0
183,18.692,39.35,25.43,0,0.0,0.0,0.0
184,18.791,39.36,25.45,0,0.0,0.0,0.0
185,18.892,39.09,25.46,0,0.0,0.0,0.0
186,18.992,39.11,25.38,0,0.0,0.0,0.0
187,19.091,38.59,25.4,0,0.0,0.0,0.0
188,19.191,38.13,25.43,0,0.0,0.0,0.0
189,19.287,35.74,25.51,0,0.0,0.0,0.0
190,19.391,38.16,25.54,1,0.7828,0.603,8198.0
191,19.49,37.49,25.57,0,0.0,0.0,0.0
192,19.591,38.43,25.59,0,0.0,0.0,0.0
193,19.692,38.71,25.61,0,0.0,0.0,0.0
194,19.793,39.82,25.6,0,0.0,0.0,0.0
195,19.891,38.46,25.62,0,0.0,0.0,0.0
196,19.991,38.25,25.64,0,0.0,0.0,0.0
197,20.091,38.09,25.67,0,0.0,0.0,0.0
198,20.192,38.53,25.69,0,0.0,0.0,0.0
199,20.291,38.01,25.72,0,0.0,0.0,0.0
200,20.391,38.28,25.76,0,0.0,0.0,0.0
201,20.491,37.95,25.81,0,0.0,0.0,0.0
202,20.592,38.52,25.83,0,0.0,0.0,0.0
203,20.693,40.01,25.81,1,0.614,0.0,14522.0
204,20.793,39.66,25.8,2,0.7,0.476,5075.0
205,20.892,38.8,25.81,1,0.7566,0.484,6857.0
206,20.992,38.19,25.84,0,0.0,0.0,0.0
207,21.086,34.22,25.95,0,0.0,0.0,0.0
208,21.191,37.7,25.98,0,0.0,0.0,0.0
209,21.292,38.4,26.02,0,0.0,0.0,0.0
210,21.392,38.59,26.05,0,0.0,0.0,0.0
211,21.492,38.52,26.08,0,0.0,0.0,0.0
212,21.593,38.48,26.07,0,0.0,0.0,0.0
213,21.694,39.32,26.07,0,0.0,0.0,0.0
214,21.794,39.75,26.06,1,0.6823,0.494,3282.0
215,21.895,39.77,26.05,2,0.7171,0.549,4488.5
216,21.994,39.3,26.04,1,0.6629,0.515,5282.0
217,22.094,39.53,26.02,1,0.5811,0.512,9065.0
218,22.19,35.91,26.07,1,0.7753,0.516,21639.0
219,22.293,38.72,26.01,1,0.8463,0.512,23968.0
220,22.394,39.27,25.98,1,0.8091,0.516,25285.0
221,22.494,39.44,25.94,1,0.7512,0.52,24040.0
222,22.592,37.6,25.96,1,0.7707,0.524,24375.0
